"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"A directory with the same name already exists. Please try another folder name.","A directory with the same name already exists. Please try another folder name."
"A page URL key for specified store already exists.","A page URL key for specified store already exists."
"Action","عملیات"
"Add New Block","اضافه کردن بلاک جدید"
"Add New Page","اضافه کردن صفحه جدید"
"All Countries","تمام کشور ها"
"An error occurred while saving the page.","An error occurred while saving the page."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to delete current folder?","Are you sure you want to delete current folder?"
"Are you sure you want to delete the selected file?","Are you sure you want to delete the selected file?"
"Block","بلاک"
"Block Information","اطلاعات بلاک"
"Block Title","عنوان بلاک"
"CMS","مدریت محتوا"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","CMS Home Page"
"CMS No Cookies Page","CMS No Cookies Page"
"CMS No Route Page","CMS No Route Page"
"CMS No-Route Page","CMS No-Route Page"
"CMS Page","CMS Page"
"CMS Page Link","CMS Page Link"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Pages (All)","CMS Pages (All)"
"CMS Static Block","CMS Static Block"
"CMS Static Block Default Template","CMS Static Block Default Template"
"Cannot create new directory.","Cannot create new directory."
"Cannot delete directory %s.","Cannot delete directory %s."
"Cannot delete root directory %s.","Cannot delete root directory %s."
"Cannot upload file.","Cannot upload file."
"Collapse All","Collapse All"
"Content","محتوا"
"Content Heading","Content Heading"
"Content Management","Content Management"
"Contents of a Static Block","Contents of a Static Block"
"Create Folder...","Create Folder..."
"Custom Design","طراحی سفارشی"
"Custom Design From","طراحی سفارشی از"
"Custom Design To","طراحی سفارشی تا"
"Custom Layout","Custom Layout"
"Custom Layout Update XML","Custom Layout Update XML"
"Custom Theme","Custom Theme"
"Customer Tax Class Information","Customer Tax Class Information"
"Date Created","تاریخ ایجاد"
"Delete Block","حذف بلاک"
"Delete File","حذف فایل"
"Delete Folder","حذف پوشه"
"Delete Page","حذف صفحه"
"Description","توضیحات"
"Design","طرح"
"Disabled","غیر فعال شده"
"Disabled Completely","Disabled Completely"
"Disabled by Default","Disabled by Default"
"Edit Block","ویرایش بلاک"
"Edit Block '%s'","ویرایش بلاک '%s'"
"Edit Page","ویرایش صفحه"
"Edit Page '%s'","ویرایش صفحه '%s'"
"Enable WYSIWYG Editor","Enable WYSIWYG Editor"
"Enabled","فعال شده"
"Enabled by Default","Enabled by Default"
"Expand All","Expand All"
"General Information","General Information"
"Go to Home Page","برو به صفحه اصلی"
"Home","خانه"
"ID","شناسه"
"Identifier","Identifier"
"If empty, the Page Title will be used","If empty, the Page Title will be used"
"Images (%s)","تصاویر (%s)"
"Insert File","Insert File"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Invalid folder name. Please, use alphanumeric characters, underscores and dashes."
"Keywords","کلمات کلیدی"
"Last Modified","آخرین تغییرات"
"Layout","طرح بندی"
"Layout Update XML","Layout Update XML"
"Link to a CMS Page","Link to a CMS Page"
"Manage Pages","مدیریت صفحات"
"Media Gallery","گالری مدیا"
"Media Storage","Media Storage"
"Meta Data","اطلاعات متا"
"Meta Description","توضیحات متا"
"Meta Keywords","کلمات کلیدی متا"
"New Block","بلاک جدید"
"New Folder Name:","New Folder Name:"
"New Page","صفحه جدید"
"No files found","هیچ فایلی پیدا نشد"
"Page Information","اطلاعات صفحه"
"Page Layout","طرح بندی صفحه"
"Page Status","وضعیت صحه"
"Page Title","عنوان صفحه"
"Pages","صفحات"
"Product Tax Class Information","Product Tax Class Information"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Relative to Website Base URL","مرتبط به آدرس وب سایت پایه"
"Save Block","ذخیره بلاک"
"Save Page","ذخیره صفحه"
"Save Process","Save Process"
"Select Block...","انتخاب بلاک..."
"Select Page...","انتخاب صفحه..."
"Show Breadcrumbs for CMS Pages","Show Breadcrumbs for CMS Pages"
"Show Notice if JavaScript is Disabled","Show Notice if JavaScript is Disabled"
"Static Blocks","بلاک های استاتیک"
"Status","وضعیت"
"Storage Root","Storage Root"
"Store View","ظاهر فروشگاه"
"Template","قالب"
"The block has been deleted.","The block has been deleted."
"The block has been saved.","The block has been saved."
"The directory %s is not writable by server.","The directory %s is not writable by server."
"The page URL key cannot consist only of numbers.","The page URL key cannot consist only of numbers."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page has been deleted.","The page has been deleted."
"The page has been saved.","The page has been saved."
"The static block content cannot contain  directive with its self.","The static block content cannot contain  directive with its self."
"This block no longer exists.","This block no longer exists."
"This page no longer exists.","This page no longer exists."
"Title","عنوان"
"URL Key","کلید URL"
"Unable to find a block to delete.","Unable to find a block to delete."
"Unable to find a page to delete.","Unable to find a page to delete."
"WYSIWYG Options","WYSIWYG Options"
"px.","px."
