"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s مورد(ها)"
"%s and above","%s و بالا"
"(%d)","(%d)"
"(Copy data from: %s)","(Copy data from: %s)"
"* Required Fields","* فیلدهای ضروری"
"-- Please Select --","-- Please Select --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"A group with the same name already exists.","A group with the same name already exists."
"A name is required","A name is required"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"ALL GROUPS","ALL GROUPS"
"AM","AM"
"Action","عملیات"
"Actual Price","قیمت واقعی"
"Add","اضافه کردن"
"Add Attribute","اضافه کردن ویژگی"
"Add Design Change","Add Design Change"
"Add Group","اضافه کردن گروه"
"Add Group Price","اضافه کردن مجموعه قیمت"
"Add New","اضافه کردن جدید"
"Add New Attribute","اضافه کردن ویژگی جدید"
"Add New Attribute Set","اضافه کردن مجموعه ویژگی جدید"
"Add New Group","اضافه کردن گروه جدید"
"Add New Images","اضافه کردن تصویر جدید"
"Add New Option","اضافه کردن گزینه جدید"
"Add New Row","اضافه کردن سطر جدید"
"Add New Search Term","Add New Search Term"
"Add New Set","اضافه کردن مجموعه جدید"
"Add Product","اضافه کردن محصول"
"Add Product To Websites","Add Product To Websites"
"Add Root Category","اضافه کردن دسته بندی ریشه"
"Add Subcategory","اضافه کردن زیر شاخه"
"Add Tax","Add Tax"
"Add Tier","Add Tier"
"Add attribute into attribute set","Add attribute into attribute set"
"Add group into attribute set","Add group into attribute set"
"Add new custom option into product","Add new custom option into product"
"Add new values into custom option","Add new values into custom option"
"Add option","اضافه کردن گزینه"
"Add to Cart","اضافه به سبد"
"Add to Compare","اضافه به لیست مقایسه"
"Add to Wishlist","اضافه به لیست علاقمندیها"
"Additional Information","اطلاعات اضافی"
"Alert Urls","Alert Urls"
"All","همه"
"All Product Types","All Product Types"
"All Websites","All Websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow All Products per Page","Allow All Products per Page"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"Allow HTML Tags on Frontend","Allow HTML Tags on Frontend"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"An error occurred while adding products to websites.","An error occurred while adding products to websites."
"An error occurred while clearing comparison list.","An error occurred while clearing comparison list."
"An error occurred while deleting this review.","An error occurred while deleting this review."
"An error occurred while removing products from websites.","An error occurred while removing products from websites."
"An error occurred while saving the URL rewrite","An error occurred while saving the URL rewrite"
"An error occurred while saving the attribute set.","An error occurred while saving the attribute set."
