"Add","اضافه کردن"
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","آیا مطمئن هستید؟"
"Check this checkbox if you want to add gift messages to your items.","اگر می خواهید به آیتم مورد نظر خود پیام هدیه اضافه کنید این دکمه را فعال کنید."
"Check this checkbox if you want to add gift messages.","اگر می خواهید پیام هدیه اضافه کنید این دکمه را فعال کنید."
"Do you have any gift items in your order?","آیا هیچ مورد هدیه ای در سفارش خود می خواهید؟"
"Edit","ویرایش"
"Enter a gift message for each item in your order.","برای هر مورد در سفارشتان یک پیام هدیه وارد کنید."
"Enter a gift message for entire order.","یک پیام هدیه برای سفارش کل وارد کنید."
"Enter a gift message for this address.","Enter a gift message for this address."
"From","از"
"Gift Messages","پیام های هدیه"
"Item %d of %d","Item %d of %d"
"Message","پیام"
"No","خیر"
"Save Gift Message","ذخیره پیام هدیه"
"The gift message has been removed","پیام هدیه حذف شد"
"The gift message has been saved","پیام هدیه ذخیره شد"
"The gift message has been saved.","پیام هدیه ذخیره شد."
"To","به"
"Unknown entity type","نوع موجودیت نامعلوم"
"Use config","استفاده از پیکربندی"
"Yes","Yes"
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"You can leave this box blank if you do not wish to add a gift message for this address.","You can leave this box blank if you do not wish to add a gift message for this address."
"You can leave this box blank if you do not wish to add a gift message for whole order.","You can leave this box blank if you do not wish to add a gift message for whole order."
