"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s به لیست علاقه مندی های شما اضافه شد. لطفا برای ادامه خرید <a href=""%2$s"">اینجا</a> را کلیک نمایید"
"%d product(s) have been added to shopping cart: %s.","%d product(s) have been added to shopping cart: %s."
"%s's Wishlist","%s لیست علاقه مندی ها"
"* Required Fields","* خانه های الزامی"
"Add All to Cart","همه را به سبد من اضافه کن"
"Add to Cart","اضافه کردن به سبد"
"Add to Wishlist","به لیست علاقه مندی ها اضافه کن"
"Added On","اضافه شده به"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wishlist: %s"
"An error occurred while deleting the item from wishlist.","An error occurred while deleting the item from wishlist."
"An error occurred while deleting the item from wishlist: %s","An error occurred while deleting the item from wishlist: %s"
"Are you sure you want to remove this product from your wishlist?","آیا مطمئنید که می خواهید این محصول را از لیست علاقه مندی های خود حذف کنید؟"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Back","قبلی"
"Can\'t save description %s","Can\'t save description %s"
"Can\'t update wishlist","Can\'t update wishlist"
"Cannot add item to shopping cart","Cannot add item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot create wishlist.","Cannot create wishlist."
"Cannot specify product.","نمی توان محصول را مشخص کرد."
"Cannot specify wishlist.","Cannot specify wishlist."
"Cannot update wishlist","Cannot update wishlist"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check this checkbox if you want to add a link to an rss feed to your wishlist."
"Comment","نظر"
"Comment:","نظر:"
"Customer My Account My Wishlist","Customer My Account My Wishlist"
"Customer My Account Wishlist Sharing Form","Customer My Account Wishlist Sharing Form"
"Customer Shared Wishlist View","Customer Shared Wishlist View"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email address can\'t be empty.","Email address can\'t be empty."
"Email addresses, separated by commas","نشانی های پست الکترونیکی، با کاما (،) جدا می شوند"
"Enabled","Enabled"
"General Options","General Options"
"Go to Wishlist","برو به لیست علاقه مندی ها"
"Last Added Items","آخرین اقلام اضافه شده"
"Message","پیام"
"My Wishlist","لیست علاقه مندی ها"
"My Wishlist (%d item)","لیست علاقه مندی ها (%d مورد)"
"My Wishlist (%d items)","لیست علاقه مندی ها (%d مورد)"
"My Wishlist <small>(%d)</small>","لیست علاقه مندی <small>(%d)</small>"
"Out of stock","Out of stock"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","لطفا نشانی های پست الکترونیکی معتبر وارد کنید، با کاما جدا کنید. برای مثال name@domain.com،name2@domail.com."
"Please input a valid email address.","Please input a valid email address."
"Please, enter your comments...","لطفاً نظرات خود را بنویسید..."
"Product","محصول"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","Product(s) %s are grouped. Each of them can be added to cart separately only."
"Product(s) %s have required options. Each of them can be added to cart separately only.","Product(s) %s have required options. Each of them can be added to cart separately only."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Remove Item","حذف مورد"
"Remove This Item","Remove This Item"
"Remove item","Remove item"
"Share Options","Share Options"
"Share Wishlist","به اشتراک گذاشتن لیست علاقه مندی ها"
"Share Your Wishlist","لیست علاقه مندی های خود را به اشتراک بگذارید"
"Sharing Information","Sharing Information"
"This product(s) is currently out of stock","This product(s) is currently out of stock"
"Unable to add the following product(s) to shopping cart: %s.","Unable to add the following product(s) to shopping cart: %s."
"Update Wishlist","به روز رسانی لیست علاقه مندی ها"
"View Product","نمایش محصول"
"Wishlist","فهرست علاقمندیها"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","لیست علاقه مندی های به اشتراک گذاشته شده"
"Wishlist is empty now.","Wishlist is empty now."
"You have no items in your wishlist.","شما هیچ موردی در لیست علاقه مندی های خود ندارید."
"Your Wishlist has been shared.","فهرست آرزوهای شما به اشتراک گذاشته شد"
