"%s was added to your shopping cart.","%s با موفقیت به سبد خرید شما اضافه شد."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"* Required Fields","* موارد الزامی"
"Add New Address","نشانی جدید اضافه کنید"
"Add New Condition","Add New Condition"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Add product to shopping cart"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add to Cart","اضافه به سبد"
"Add to Compare","اضافه برای مقایسه"
"Add to Wishlist","اضافه کردن به فهرست علاقمندیها"
"Additional Product Info","Additional Product Info"
"Address","نشانی"
"Address %s of %s","نشانی %s از %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","قبلاً ثبت نام کرده اید؟"
"An error occurred in the process of payment","خطا در هنگام پرداخت رخ داده است."
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","وارد کردن کد تخفیف"
"Are you sure you would like to remove this item from the shopping cart?","آیا مطمئن هستید که می خواهید این کالا را از سبد خرید خود حذف نمایید؟"
"Back","بازگشت"
"Back to Billing Information","Back to Billing Information"
"Back to Select Addresses","Back to Select Addresses"
"Back to Shipping Information","Back to Shipping Information"
"Back to Shopping Cart","بازگشت به سبد خرید"
"Based on your selection, you may be interested in the following items:","بر مبنای انتخاب شما، شما شاید به موارد زیر نیز علاقه مند باشید:"
"Billing Address","نشانی صدور صورتحساب"
"Billing Information","اطلاعات صدور صورتحساب"
"Billing Information - %s","Billing Information - %s"
"Cancel Coupon","Cancel Coupon"
"Cannot add item to the shopping cart.","Cannot add item to the shopping cart."
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Cannot configure product.","Cannot configure product."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","Cannot process the item."
"Cannot remove the item.","نمی توان این مورد را حذف کرد"
